property_id,url,building_area,land_area,ratio,actual_floors,inferred_score
nc_77837018,https://suumo.jp/ikkodate/tokyo/sc_suginami/nc_77837018/,92.22,92.76,0.994,2階建て,0.5
nc_79215137,https://suumo.jp/ikkodate/tokyo/sc_edogawa/nc_79215137/,101.01,76.45,1.321,2階建て,0.0
nc_77829205,https://suumo.jp/ikkodate/tokyo/sc_higashimurayama/nc_77829205/,95.84,110.01,0.871,2階建て,0.5
nc_77885863,https://suumo.jp/ikkodate/tokyo/sc_higashimurayama/nc_77885863/,86.42,110.05,0.785,2階建て,0.5
nc_78818761,https://suumo.jp/ikkodate/tokyo/sc_higashikurume/nc_78818761/,90.06,113.47,0.794,2階建て,0.5
nc_79071085,https://suumo.jp/ikkodate/tokyo/sc_higashikurume/nc_79071085/,87.78,110.74,0.793,2階建て,0.5
nc_75890283,https://suumo.jp/ikkodate/tokyo/sc_kiyose/nc_75890283/,98.39,120.09,0.819,2階建て,0.5
nc_78360946,https://suumo.jp/ikkodate/tokyo/sc_higashikurume/nc_78360946/,84.46,103.46,0.816,2階建て,0.5
nc_77747488,https://suumo.jp/ikkodate/tokyo/sc_higashikurume/nc_77747488/,103.92,130.19,0.798,2階建て,0.5
nc_74737590,https://suumo.jp/ikkodate/tokyo/sc_kodaira/nc_74737590/,93.05,120.1,0.775,2階建て,0.5
nc_78686007,https://suumo.jp/ikkodate/tokyo/sc_adachi/nc_78686007/,99.15,101.55,0.976,2階建て,0.5
nc_77928507,https://suumo.jp/ikkodate/tokyo/sc_kodaira/nc_77928507/,96.47,102.25,0.943,2階建て,0.5
nc_73093605,https://suumo.jp/ikkodate/tokyo/sc_kodaira/nc_73093605/,96.53,125.0,0.772,2階建て,0.5
nc_74465236,https://suumo.jp/ikkodate/tokyo/sc_kokubunji/nc_74465236/,91.56,115.22,0.795,2階建て,0.5
nc_76633329,https://suumo.jp/ikkodate/tokyo/sc_komae/nc_76633329/,94.52,125.1,0.756,2階建て,0.5
nc_78819294,https://suumo.jp/ikkodate/tokyo/sc_shinagawa/nc_78819294/,122.96,131.29,0.937,2階建て,0.5
nc_20003184,https://suumo.jp/ikkodate/tokyo/sc_ota/nc_20003184/,114.47,82.44,1.389,3階建て,0.0
nc_79049643,https://suumo.jp/ikkodate/tokyo/sc_kodaira/nc_79049643/,87.76,110.33,0.795,3階建て,0.5
nc_79147265,https://suumo.jp/ikkodate/tokyo/sc_shinjuku/nc_79147265/,120.56,105.87,1.139,2階建て,0.5
nc_78267160,https://suumo.jp/ikkodate/tokyo/sc_chofu/nc_78267160/,88.3,110.72,0.798,2階建て,0.5
nc_79077972,https://suumo.jp/ikkodate/tokyo/sc_nerima/nc_79077972/,98.24,82.54,1.19,2階建て,0.5
nc_79026502,https://suumo.jp/ikkodate/tokyo/sc_inagi/nc_79026502/,98.59,130.18,0.757,2階建て,0.5
nc_75833366,https://suumo.jp/ikkodate/tokyo/sc_suginami/nc_75833366/,96.43,104.66,0.921,2階建て,0.5
nc_78773256,https://suumo.jp/ikkodate/tokyo/sc_nerima/nc_78773256/,100.68,100.29,1.004,2階建て,0.5
nc_79069550,https://suumo.jp/ikkodate/tokyo/sc_nakano/nc_79069550/,101.04,100.09,1.009,2階建て,0.5
nc_79200765,https://suumo.jp/ikkodate/tokyo/sc_meguro/nc_79200765/,168.29,119.38,1.41,3階建て,0.0
nc_78210339,https://suumo.jp/ikkodate/tokyo/sc_musashino/nc_78210339/,111.83,105.07,1.064,3階建て,0.5
nc_20207636,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_20207636/,89.84,117.87,0.762,2階建て,0.5
nc_79167241,https://suumo.jp/ikkodate/tokyo/sc_shinjuku/nc_79167241/,108.27,97.02,1.116,2階建て,0.5
nc_79200427,https://suumo.jp/ikkodate/tokyo/sc_nerima/nc_79200427/,92.74,96.01,0.966,2階建て,0.5
