駅名,新橋まで所要時間(分)
玉川上水,75
東久留米,59
稲城,56
東中神,68
柴崎体育館,69
立川,59
谷保,65
是政,68
甲州街道,72
玉川学園前,58
町田,54
中河原,61
一橋学園,66
国分寺,49
竹ノ塚,43
西府,62
こどもの国,73
昭島,72
矢川,67
綾瀬,34
堀切菖蒲園,34
恋ヶ窪,57
東伏見,56
稲城長沼,62
西立川,66
舎人,43
花小金井,63
谷在家,40
府中本町,64
京王多摩センター,64
松が谷,79
五月台,55
西武柳沢,58
若葉台,59
四ツ木,23
お花茶屋,32
京成小岩,33
田無,60
日野,63
新柴又,32
清瀬,61
鷹の台,59
江北,37
金町,40
大塚・帝京大学,77
国立,56
一之江,40
瑞江,43
矢野口,60
保谷,54
東大和市,73
成増,48
町屋,28
中神,70
西国分寺,52
西調布,58
立飛,74
栗平,57
舎人公園,41
ひばりヶ丘,57
西国立,66
上板橋,43
京成高砂,29
北赤羽,39
大泉学園,51
武蔵大和,81
小田急永山,63
千住大橋,28
柴又,42
小平,66
六町,36
見沼代親水公園,46
西高島平,48
多磨霊園,63
足立小台,32
青井,34
柴崎,49
西台,42
東武練馬,47
小岩,29
篠崎,45
新小岩,17
西新井大師西,38
亀有,38
赤羽,29
北綾瀬,39
葛西,26
武蔵新田,29
萩山,69
桜街道,81
大師前,53
平山城址公園,69
京王永山,62
飛田給,60
八広,21
高野,342
新百合ヶ丘,45
江戸川,37
京成金町,44
競艇場前,66
東小金井,44
京王多摩川,51
本蓮沼,35
小宮,84
板橋本町,33
京成立石,25
下赤塚,49
武蔵関,55
練馬,41
高島平,44
小菅,34
西新井,40
浮間舟渡,41
荒川区役所前,38
新高島平,46
つつじヶ丘,50
東府中,51
仙川,48
矢口渡,28
志村坂上,37
八幡山,42
上井草,58
蓮根,41
つくし野,53
梶原,33
蒲田,19
西永福,36
豊島園,50
千歳烏山,46
石神井公園,49
地下鉄赤塚,47
ときわ台,43
鶴川,54
成瀬,63
氷川台,42
南町田グランベリーパーク,57
上石神井,52
三ノ輪,25
国領,50
分倍河原,56
船堀,38
小台,39
芦花公園,45
鵜の木,32
武蔵小金井,48
南多摩,71
鷺ノ宮,48
谷塚,46
和泉多摩川,41
中板橋,41
富士見台,52
武蔵野台,62
練馬高野台,54
新小金井,57
井荻,56
曳舟,29
武蔵中原,34
踊場,48
藤沢,40
柳小路,57
生田,50
希望ケ丘,61
港町,28
西横浜,45
大口,44
上大岡,40
十日市場,62
藤沢本町,50
杉田,53
根岸,49
辻堂,44
鶴見,27
菊名,46
井土ヶ谷,38
東戸塚,34
西谷,43
日吉,44
新羽,51
生麦,42
本郷台,63
能見台,51
読売ランド前,51
中野島,55
川和町,69
鵠沼海岸,49
湘南台,71
中山,59
長後,75
稲村ヶ崎,67
川崎,24
三ツ沢上町,39
浜川崎,44
保土ケ谷,29
藤が丘,52
二俣川,62
三ツ沢下町,38
東門前,33
屏風浦,45
恩田,70
上永谷,50
弥生台,59
川崎大師,31
中田,50
東神奈川,34
白楽,46
立場,52
新横浜,50
金沢文庫,47
日吉本町,51
戸塚,31
いずみ中央,63
古淵,69
岸根公園,44
三ツ境,63
相模大野,56
百合ヶ丘,53
六会日大前,55
港南台,60
善行,52
弘明寺,40
羽沢横浜国大,39
安善,39
蒔田,58
横浜,31
小机,52
東林間,62
西鎌倉,56
尻手,33
大師橋,34
星川,47
磯子,52
港南中央,47
妙蓮寺,49
本鵠沼,47
緑園都市,56
山手,46
センター南,57
瀬谷,57
追浜,52
鶴間,71
長津田,51
洋光台,58
下永谷,53
宿河原,45
桜ヶ丘,64
矢向,34
東山田,57
上星川,52
茅ケ崎,47
高座渋谷,61
逗子,54
黒川,59
鵠沼,58
東白楽,45
鈴木町,30
黄金町,34
日ノ出町,33
南万騎が原,54
武蔵白石,41
淵野辺,72
高田,158
鴨居,55
六浦,51
新杉田,54
下飯田,55
大倉山,40
上溝,97
綱島,38
つきみ野,59
大磯,56
市が尾,50
和田町,50
あざみ野,43
大船,43
富士見町,49
片倉町,42
平間,38
久地,43
金沢八景,49
片瀬江ノ島,51
鶴ケ峰,55
中川,61
登戸,54
高津,32
新川崎,17
反町,43
吉野町,48
横須賀中央,59
武蔵新城,37
鷺沼,39
目白山下,60
稲田堤,59
田奈,55
溝の口,50
湘南海岸公園,62
新綱島,41
片瀬山,58
仲町台,54
鎌倉高校前,73
京王稲田堤,52
青葉台,48
花月総持寺,41
湘南深沢,53
海の公園柴口,66
柿生,52
梶が谷,37
宮前平,40
たまプラーザ,41
