駅名,虎ノ門まで所要時間(分)
玉川上水,70
東久留米,64
稲城,54
東中神,64
柴崎体育館,67
立川,53
谷保,63
是政,64
甲州街道,70
玉川学園前,56
町田,52
中河原,59
一橋学園,62
国分寺,45
竹ノ塚,46
西府,60
こどもの国,64
昭島,68
矢川,65
綾瀬,41
堀切菖蒲園,42
恋ヶ窪,53
東伏見,52
稲城長沼,58
西立川,62
舎人,53
花小金井,57
谷在家,49
府中本町,57
京王多摩センター,62
松が谷,72
五月台,48
西武柳沢,55
若葉台,57
四ツ木,33
お花茶屋,44
京成小岩,46
田無,57
日野,56
新柴又,44
清瀬,66
鷹の台,55
江北,46
金町,47
大塚・帝京大学,74
国立,50
一之江,44
瑞江,46
矢野口,56
保谷,59
東大和市,68
成増,50
町屋,34
中神,66
西国分寺,48
西調布,56
立飛,70
栗平,50
舎人公園,51
ひばりヶ丘,62
西国立,60
上板橋,48
京成高砂,47
北赤羽,44
大泉学園,56
武蔵大和,75
小田急永山,60
千住大橋,38
柴又,55
小平,60
六町,46
見沼代親水公園,55
西高島平,53
多磨霊園,61
足立小台,41
青井,44
柴崎,47
西台,47
東武練馬,53
小岩,39
篠崎,49
新小岩,31
西新井大師西,48
亀有,45
赤羽,38
北綾瀬,44
葛西,28
武蔵新田,40
萩山,61
桜街道,77
大師前,59
平山城址公園,67
京王永山,60
飛田給,58
八広,31
高野,349
新百合ヶ丘,44
江戸川,50
京成金町,51
競艇場前,62
東小金井,40
京王多摩川,49
本蓮沼,40
小宮,75
板橋本町,38
京成立石,35
下赤塚,52
武蔵関,50
練馬,36
高島平,49
小菅,37
西新井,45
浮間舟渡,46
荒川区役所前,46
新高島平,51
つつじヶ丘,41
東府中,49
仙川,45
矢口渡,38
志村坂上,41
八幡山,39
上井草,49
蓮根,45
つくし野,51
梶原,45
蒲田,27
西永福,34
豊島園,54
千歳烏山,38
石神井公園,54
地下鉄赤塚,46
ときわ台,49
鶴川,52
成瀬,61
氷川台,41
南町田グランベリーパーク,55
上石神井,48
三ノ輪,31
国領,48
分倍河原,54
船堀,41
小台,50
芦花公園,42
鵜の木,43
武蔵小金井,42
南多摩,60
鷺ノ宮,43
谷塚,49
和泉多摩川,39
中板橋,45
富士見台,52
武蔵野台,60
練馬高野台,54
新小金井,53
井荻,52
曳舟,37
武蔵中原,44
踊場,57
藤沢,51
柳小路,65
生田,47
希望ケ丘,68
港町,41
西横浜,49
大口,50
上大岡,57
十日市場,60
藤沢本町,61
杉田,58
根岸,49
辻堂,55
鶴見,32
菊名,43
井土ヶ谷,49
東戸塚,43
西谷,52
日吉,39
新羽,61
生麦,47
本郷台,60
能見台,62
読売ランド前,48
中野島,51
川和町,66
鵠沼海岸,60
湘南台,66
中山,57
長後,70
稲村ヶ崎,77
川崎,24
三ツ沢上町,49
浜川崎,55
保土ケ谷,39
藤が丘,50
二俣川,56
三ツ沢下町,48
東門前,46
屏風浦,56
恩田,61
上永谷,55
弥生台,76
川崎大師,44
中田,59
東神奈川,42
白楽,49
立場,60
新横浜,39
金沢文庫,65
日吉本町,51
戸塚,42
いずみ中央,80
古淵,67
岸根公園,54
三ツ境,70
相模大野,55
百合ヶ丘,50
六会日大前,66
港南台,60
善行,63
弘明寺,51
羽沢横浜国大,48
安善,48
蒔田,60
横浜,37
小机,55
東林間,64
西鎌倉,66
尻手,30
大師橋,47
星川,52
磯子,52
港南中央,67
妙蓮寺,47
本鵠沼,58
緑園都市,73
山手,46
センター南,62
瀬谷,73
追浜,69
鶴間,69
長津田,49
洋光台,58
下永谷,53
宿河原,48
桜ヶ丘,75
矢向,32
東山田,55
上星川,57
茅ケ崎,58
高座渋谷,72
逗子,63
黒川,52
鵠沼,66
東白楽,51
鈴木町,43
黄金町,45
日ノ出町,44
南万騎が原,71
武蔵白石,50
淵野辺,70
高田,169
鴨居,59
六浦,69
新杉田,54
下飯田,63
大倉山,49
上溝,95
綱島,44
つきみ野,57
大磯,67
市が尾,48
和田町,55
あざみ野,41
大船,47
富士見町,59
片倉町,52
平間,37
久地,45
金沢八景,67
片瀬江ノ島,62
鶴ケ峰,62
中川,57
登戸,37
高津,30
新川崎,26
反町,49
吉野町,58
横須賀中央,77
武蔵新城,42
鷺沼,37
目白山下,70
稲田堤,53
田奈,53
溝の口,32
湘南海岸公園,70
新綱島,41
片瀬山,68
仲町台,64
鎌倉高校前,84
京王稲田堤,50
青葉台,46
花月総持寺,46
湘南深沢,62
海の公園柴口,79
柿生,50
梶が谷,35
宮前平,38
たまプラーザ,39
